Name,Sex,Age,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
Andriy Vasylovych Deryzemlia,M,32.0,Ukraine,UKR,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 10 kilometres Sprint,
Andriy Vasylovych Deryzemlia,M,32.0,Ukraine,UKR,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,
Andriy Vasylovych Deryzemlia,M,32.0,Ukraine,UKR,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 15 kilometres Mass Start,
Andriy Vasylovych Deryzemlia,M,32.0,Ukraine,UKR,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 20 kilometres,
Andriy Vasylovych Deryzemlia,M,32.0,Ukraine,UKR,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,
Andriy Vasylovych Deryzemlia,M,36.0,Ukraine,UKR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 10 kilometres Sprint,
Andriy Vasylovych Deryzemlia,M,36.0,Ukraine,UKR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Mixed 2 x 6 kilometres and 2 x 7.5 kilometres Relay,
Andriy Vasylovych Deryzemlia,M,36.0,Ukraine,UKR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 12.5 kilometres Pursuit,
Andriy Vasylovych Deryzemlia,M,36.0,Ukraine,UKR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 20 kilometres,
Andriy Vasylovych Deryzemlia,M,36.0,Ukraine,UKR,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,
Betlhem Desalegn Belayneh,F,20.0,United Arab Emirates,UAE,2012 Summer,2012,Summer,London,Athletics,"Athletics Women's 1,500 metres",
Eseosa Fostine Desalu,M,22.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 200 metres,
Gregor Deschwanden,M,22.0,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",
Gregor Deschwanden,M,22.0,Switzerland,SUI,2014 Winter,2014,Winter,Sochi,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",
Vincent Descombe-Sevoie,M,26.0,France,FRA,2010 Winter,2010,Winter,Vancouver,Ski Jumping,"Ski Jumping Men's Normal Hill, Individual",
Vincent Descombe-Sevoie,M,26.0,France,FRA,2010 Winter,2010,Winter,Vancouver,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",
Vincent Descombe-Sevoie,M,26.0,France,FRA,2010 Winter,2010,Winter,Vancouver,Ski Jumping,"Ski Jumping Men's Large Hill, Team",
Solene Dsert (-Mariller),F,26.0,France,FRA,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's 4 x 400 metres Relay,
Svetlana Deshevykh,F,31.0,Kazakhstan,KAZ,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,
Svetlana Deshevykh,F,31.0,Kazakhstan,KAZ,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,
Svetlana Deshevykh,F,31.0,Kazakhstan,KAZ,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 5/5 kilometres Pursuit,
Svetlana Deshevykh,F,31.0,Kazakhstan,KAZ,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,
Deepali Deshpande,F,35.0,India,IND,2004 Summer,2004,Summer,Athina,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",
Yvan Deslavire,M,27.0,France,FRA,2000 Summer,2000,Summer,Sydney,Rowing,Rowing Men's Quadruple Sculls,
Mikkel Desler Puggaard,M,21.0,Denmark,DEN,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,
Marie-Claude Deslires,F,34.0,Canada,CAN,2000 Summer,2000,Summer,Sydney,Water Polo,Water Polo Women's Water Polo,
Nathalie Desmares,F,37.0,France,FRA,2010 Winter,2010,Winter,Vancouver,Snowboarding,Snowboarding Women's Parallel Giant Slalom,
Dolf Desmedt,M,24.0,Belgium,BEL,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",
Dolf Desmedt,M,24.0,Belgium,BEL,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",
Pieter Desmet,M,25.0,Belgium,BEL,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 3,000 metres Steeplechase",
Alfredo Despaigne Rodrguez,M,22.0,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Silver
Oreidis Despaigne Terry,M,22.0,Cuba,CUB,2004 Summer,2004,Summer,Athina,Judo,Judo Men's Half-Heavyweight,
Oreidis Despaigne Terry,M,26.0,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Heavyweight,
Oreidis Despaigne Terry,M,30.0,Cuba,CUB,2012 Summer,2012,Summer,London,Judo,Judo Men's Half-Heavyweight,
